City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,calama,-22.4667,-68.9333,24.27,9,0,8.75,CL,1696200865
272,aasiaat,68.7098,-52.8699,-6.78,79,10,3.49,GL,1696200865
273,bontang,0.1333,117.5,25.43,82,59,3.48,ID,1696200865
274,g'azalkent,41.5581,69.7708,14.36,33,95,1.38,UZ,1696200820
275,mafinga,-7.25,35.0667,22.57,43,0,2.96,TZ,1696200865
276,bougara,36.5418,3.081,19.42,51,0,1.06,DZ,1696200865
277,howard springs,-12.497,131.047,28.23,61,9,1.72,AU,1696200865
278,baukau,51.5526,7.2042,18.82,70,100,2.24,DE,1696200866
279,gunjur,13.2019,-16.7339,27.04,89,40,0.0,GM,1696200866
280,al bardiyah,31.7561,25.0865,22.93,67,0,4.39,LY,1696200866
281,boguchany,58.3814,97.4531,-0.08,71,80,3.58,RU,1696200866
282,pandan,14.0453,124.1694,27.97,81,100,4.72,PH,1696200866
283,northam,51.0333,-4.2167,16.33,98,100,2.11,GB,1696200866
284,tenno,39.9,139.9667,15.56,58,74,8.72,JP,1696200866
285,richards bay,-28.783,32.0377,17.44,65,97,2.71,ZA,1696200866
286,luanco,43.6152,-5.7934,24.15,99,13,0.91,ES,1696200866
287,koryazhma,61.3143,47.1691,10.51,88,40,5.51,RU,1696200867
288,chegdomyn,51.1167,133.0167,5.74,94,100,1.34,RU,1696200867
289,mazar-e sharif,36.709,67.1109,18.31,25,0,2.32,AF,1696200867
290,malvan,16.0667,73.4667,24.81,84,100,4.2,IN,1696200867
291,camapua,-19.5314,-54.0439,27.23,66,68,2.4,BR,1696200867
292,maumere,-8.6199,122.2111,26.22,76,64,1.31,ID,1696200867
293,sorong,-0.8833,131.25,27.2,81,100,1.48,ID,1696200867
294,birobidzhan,48.8,132.95,6.57,77,76,2.32,RU,1696200867
295,punta del este,-34.9667,-54.95,11.09,82,75,4.12,UY,1696200868
296,waddan,29.1614,16.139,21.77,64,1,4.82,LY,1696200868
297,utrik,11.2278,169.8474,28.5,79,63,6.1,MH,1696200868
298,lan sak,15.4529,99.5761,23.05,92,93,0.96,TH,1696200868
299,moyynkum,44.2914,72.9469,16.39,37,46,3.37,KZ,1696200868
300,sisimiut,66.9395,-53.6735,0.68,72,99,2.26,GL,1696200868
301,kapuskasing,49.4169,-82.4331,19.05,72,75,4.63,CA,1696200868
302,ca mau,9.1769,105.15,23.95,94,100,3.22,VN,1696200869
303,klyuchi,52.2667,79.1667,5.45,90,0,2.57,RU,1696200869
304,semnan,35.5729,53.3971,19.55,22,89,1.11,IR,1696200869
305,igarka,67.4667,86.5833,-5.22,78,12,3.01,RU,1696200869
306,talas,38.6908,35.5538,12.37,94,75,0.0,TR,1696200869
307,kerikeri,-35.2268,173.9474,19.95,74,10,2.24,NZ,1696200869
308,margate,51.3813,1.3862,16.61,90,96,0.45,GB,1696200758
309,inhambane,-23.865,35.3833,21.73,60,93,8.98,MZ,1696200869
310,malango,-2.9627,119.9001,20.67,94,94,0.1,ID,1696200870
311,karratha,-20.7377,116.8463,22.68,41,1,8.46,AU,1696200870
312,buulobarde,3.8538,45.5674,24.8,81,17,7.1,SO,1696200870
313,berazategui,-34.7633,-58.2117,16.98,57,3,5.52,AR,1696200870
314,ilam,26.9167,87.9167,20.49,82,100,2.09,NP,1696200870
315,ishigaki,24.3448,124.1572,27.07,89,75,8.23,JP,1696200870
316,phang nga,8.4509,98.5298,27.02,93,91,0.87,TH,1696200870
317,vuktyl,63.8567,57.3094,11.73,87,100,6.26,RU,1696200870
318,isla vista,34.4133,-119.861,23.2,58,0,3.6,US,1696200870
319,narrabri,-30.3167,149.7833,27.51,36,8,2.68,AU,1696200871
320,vila franca do campo,37.7167,-25.4333,20.23,99,74,3.66,PT,1696200871
321,christchurch,-43.5333,172.6333,22.11,43,20,6.69,NZ,1696200124
322,port-vila,-17.7338,168.3219,25.78,61,20,6.69,VU,1696200599
323,hidalgo,20.5,-99.0,21.52,57,69,7.15,MX,1696200871
324,west livingston,30.6983,-95.0019,35.03,37,92,0.89,US,1696200871
325,ciudad lazaro cardenas,17.9583,-102.2,30.68,72,21,4.18,MX,1696200871
326,tevriz,57.509,72.4042,4.61,97,13,2.38,RU,1696200871
327,sirte,31.2089,16.5887,23.83,63,0,3.6,LY,1696200871
328,zaigrayevo,51.8336,108.2703,3.26,79,100,3.73,RU,1696200871
329,sidi abdelli,35.0694,-1.1371,18.64,46,0,1.05,DZ,1696200872
330,skara,58.3866,13.4384,11.57,94,56,3.13,SE,1696200872
331,jose pedro varela,-33.45,-54.5333,9.55,91,6,3.64,UY,1696200872
332,polyarnyy,69.1989,33.4478,5.37,83,99,8.58,RU,1696200872
333,lazaro cardenas,17.9583,-102.2,30.68,72,21,4.18,MX,1696200872
334,hoopstad,-27.8327,25.9083,11.73,41,0,3.71,ZA,1696200872
335,katsuren-haebaru,26.3369,127.8719,28.21,43,0,5.66,JP,1696200872
336,hilo,19.7297,-155.09,28.95,72,100,3.09,US,1696200794
337,pemangkat,1.1667,108.9667,25.32,82,99,2.51,ID,1696200872
338,cox's bazar,21.4532,91.9798,24.8,95,79,4.37,BD,1696200873
339,vila do maio,15.1333,-23.2167,27.44,82,95,4.29,CV,1696200873
340,yanqul,23.5905,56.5501,26.59,40,0,0.31,OM,1696200873
341,coruripe,-10.1256,-36.1756,22.51,78,8,3.86,BR,1696200873
342,karsava,56.7841,27.6883,8.46,95,2,3.87,LV,1696200873
343,rabigh,22.7986,39.0349,29.47,71,2,1.35,SA,1696200873
344,lardero,42.4269,-2.4615,16.4,82,0,1.03,ES,1696200873
345,adrar,20.5022,-10.0711,30.3,17,29,4.41,MR,1696200873
346,conceicao do mato dentro,-19.0372,-43.425,21.71,87,99,0.41,BR,1696200874
347,bikenibeu village,1.3673,173.1241,30.98,70,40,1.54,KI,1696200874
348,vadso,70.0744,29.7487,4.49,81,75,5.66,NO,1696200874
349,pontes e lacerda,-15.2261,-59.3353,26.6,70,94,0.78,BR,1696200874
350,newman,37.3138,-121.0208,24.47,41,61,2.24,US,1696200874
351,acarau,-2.8856,-40.12,25.65,79,20,7.71,BR,1696200874
352,dapa,9.7594,126.0531,28.2,78,96,2.13,PH,1696200874
353,karasu,41.071,30.7854,19.27,85,92,2.87,TR,1696200875
354,moussoro,13.6408,16.4901,32.08,25,94,0.92,TD,1696200875
355,el triunfo,-1.9333,-79.9667,31.02,51,100,3.69,EC,1696200875
356,ponta delgada,37.7333,-25.6667,20.4,73,20,6.17,PT,1696200875
357,long beach,33.767,-118.1892,22.95,61,20,5.14,US,1696200723
358,katabu,-4.9333,122.5167,25.93,78,36,1.27,ID,1696200875
359,djambala,-2.5447,14.7533,21.49,88,100,0.81,CG,1696200875
360,tuy hoa,13.0833,109.3,24.67,92,90,2.1,VN,1696200875
361,tambo,-14.8,-73.9167,6.21,77,95,3.42,PE,1696200875
362,koungou,-12.7336,45.2042,23.84,94,0,2.06,YT,1696200875
